MOIS;THEMATIQUES;Nombre de sujets de JT;Nombre de sujets de JT;Nombre de sujets de JT;Nombre de sujets de JT;Nombre de sujets de JT;Nombre de sujets de JT;Nombre de sujets de JT
;;TF1;France 2;France 3;Canal +;Arte;M6;Totaux
déc.-17;Sciences et techniques;7;6;3;5;12;10;43
déc.-17;Société;87;82;67;11;28;77;352
déc.-17;Sport;24;15;12;5;1;27;84
janv.-18;Catastrophes;103;107;115;8;2;59;394
janv.-18;Culture-loisirs;45;31;26;7;25;60;194
janv.-18;Economie;59;75;38;14;11;28;225
janv.-18;Education;16;11;4;2;4;11;48
janv.-18;Environnement;42;47;18;9;12;22;150
janv.-18;Faits divers;18;23;22;4;4;30;101
janv.-18;Histoire-hommages;17;22;12;2;11;17;81
janv.-18;International;38;66;33;20;140;53;350
janv.-18;Justice;20;30;22;5;8;26;111
janv.-18;Politique France;74;82;68;13;17;43;297
janv.-18;Santé;31;22;23;6;13;36;131
janv.-18;Sciences et techniques;19;7;5;3;13;12;59
janv.-18;Société;98;83;65;23;34;86;389
janv.-18;Sport;31;14;15;4;1;31;96
févr.-18;Catastrophes;99;55;55;10;2;53;274
févr.-18;Culture-loisirs;20;21;23;9;21;47;141
févr.-18;Economie;65;60;38;7;11;40;221
févr.-18;Education;14;8;2;1;1;10;36
févr.-18;Environnement;34;30;31;6;7;29;137
févr.-18;Faits divers;30;25;31;5;8;32;131
févr.-18;Histoire-hommages;3;4;2;0;9;2;20
févr.-18;International;32;70;25;18;120;34;299
févr.-18;Justice;31;33;30;14;10;36;154
févr.-18;Politique France;40;66;45;18;12;49;230
févr.-18;Santé;17;9;10;0;3;14;53
févr.-18;Sciences et techniques;14;3;2;6;10;11;46
févr.-18;Société;73;67;44;18;19;58;279
févr.-18;Sport;39;48;26;16;2;40;171
mars-18;Catastrophes;20;12;19;3;1;16;71
mars-18;Culture-loisirs;25;25;20;5;26;54;155
mars-18;Economie;39;45;30;6;9;22;151
mars-18;Education;12;9;9;5;0;12;47
mars-18;Environnement;25;20;21;4;9;5;84
mars-18;Faits divers;21;18;17;8;7;28;99
mars-18;Histoire-hommages;9;5;4;3;4;10;35
mars-18;International;62;98;51;23;134;61;429
mars-18;Justice;37;27;34;6;6;38;148
mars-18;Politique France;73;75;58;13;13;58;290
mars-18;Santé;13;18;8;2;2;17;60
mars-18;Sciences et techniques;20;10;3;4;11;12;60
mars-18;Société;93;113;85;25;26;96;438
mars-18;Sport;23;17;13;7;0;28;88
avr.-18;Catastrophes;14;14;14;2;1;12;57
avr.-18;Culture-loisirs;17;18;18;4;25;38;120
avr.-18;Economie;47;33;27;5;7;29;148
avr.-18;Education;23;17;11;4;6;18;79
avr.-18;Environnement;22;19;11;1;7;10;70
avr.-18;Faits divers;21;12;20;5;6;26;90
avr.-18;Histoire-hommages;10;9;12;5;7;11;54
avr.-18;International;51;77;34;18;105;62;347
avr.-18;Justice;16;20;11;7;11;17;82
avr.-18;Politique France;47;55;56;14;15;38;225
avr.-18;Santé;15;15;10;1;4;14;59
avr.-18;Sciences et techniques;15;2;3;8;12;13;53
avr.-18;Société;154;177;140;28;40;127;666
avr.-18;Sport;14;21;7;5;0;19;66
mai-18;Catastrophes;33;32;25;4;4;27;125
mai-18;Culture-loisirs;25;34;31;13;35;57;195
mai-18;Economie;62;69;38;4;10;32;215
mai-18;Education;23;18;8;6;4;10;69
mai-18;Environnement;28;17;20;2;13;15;95
mai-18;Faits divers;29;30;38;7;4;34;142
mai-18;Histoire-hommages;10;20;14;3;7;13;67
mai-18;International;70;95;41;36;156;54;452
mai-18;Justice;9;23;14;6;6;22;80
mai-18;Politique France;49;54;55;10;15;32;215
mai-18;Santé;16;17;10;7;12;23;85
mai-18;Sciences et techniques;17;4;2;3;8;13;47
mai-18;Société;170;169;112;28;39;142;660
mai-18;Sport;37;30;15;6;0;70;158
juin-18;Catastrophes;35;39;53;5;5;24;161
juin-18;Culture-loisirs;17;20;15;4;20;49;125
juin-18;Economie;41;61;32;11;8;29;182
juin-18;Education;12;9;8;3;3;16;51
juin-18;Environnement;17;38;18;4;7;12;96
juin-18;Faits divers;15;15;24;7;4;36;101
juin-18;Histoire-hommages;6;10;6;3;4;1;30
juin-18;International;65;97;53;17;137;49;418
juin-18;Justice;14;17;16;3;8;16;74
juin-18;Politique France;24;41;29;6;8;20;128
juin-18;Santé;12;9;9;1;6;15;52
juin-18;Sciences et techniques;10;7;5;4;6;7;39
juin-18;Société;72;87;64;12;26;75;336
juin-18;Sport;117;53;45;14;4;61;294
